site_code,site_name,post_code,trust_code,gross_internal_floor_area_m2,site_heated_volume_m3,not_functionally_suitable_occupied_floor_area_pct,gas_consumed_kwh,water_volume_including_borehole_m3,steam_consumed_kwh,hot_water_consumed_kwh,led_lighting_coverage_pct,oil_led_heating_sources_no,overheating_occurrences_triggering_a_risk_assessment_no,flood_occurrences_triggering_a_risk_assessment_no,total_backlog_cost_gbp,age_vulnerability_score,latitude,longitude,not_functionally_suitable_occupied_floor_area_pct_missing,gas_consumed_kwh_missing,water_volume_including_borehole_m3_missing,steam_consumed_kwh_missing,hot_water_consumed_kwh_missing,led_lighting_coverage_pct_missing,oil_led_heating_sources_no_missing,overheating_occurrences_triggering_a_risk_assessment_no_missing,gross_internal_floor_area_m2_missing,site_heated_volume_m3_missing,site_type_Community hospital (with inpatient beds),site_type_General acute hospital,site_type_Learning Disabilities,site_type_Mental Health (including Specialist services),site_type_Mental Health and Learning Disabilities,site_type_Mixed service hospital,site_type_Non inpatient,site_type_Other Reportable Site,site_type_Other inpatient,site_type_Specialist hospital (acute only),site_type_Support Facility,site_type_Unoccupied,year_2021_22,year_22_23,year_23_24,year_24_25
R0A47,DERMOTT MURPHY CLOSE - LONG STAY UNIT,M20 1FQ,R0A,1717.0,4636.0,0.0,411735.0,1893.0,0.0,0.0,0.0,0.0,0.0,0,0.0,70.0,53.4258,-2.23295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
R0A48,CAROL KENDRICK UNIT (STRATUS HOUSE),M23 9XD,R0A,1280.0,3456.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,70.0,53.3947,-2.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R0A49,BUCCLEUCH LODGE,M20 2XA,R0A,1914.0,5168.0,0.0,734067.0,2645.0,0.0,0.0,100.0,0.0,0.0,0,0.0,70.0,53.4258,-2.23295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
R0A52,CHORLTON HEALTH CENTRE,M21 9NJ,R0A,617.0,1740.0,0.0,229673.0,1146.5,0.0,0.0,25.0,0.0,0.0,0,,60.0,53.4351,-2.2631,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R0A60,CHAPEL ROAD CLINIC,M33 7EG,R0A,672.0,1895.0,0.0,203563.0,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,100.0,53.4252,-2.3244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R0A63,THE BRIDGE (MADISON PLACE),M40 5BP,R0A,676.0,1906.0,0.0,229673.0,1146.5,0.0,0.0,25.0,0.0,0.0,0,,10.0,53.5041,-2.191,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R0A66,NORTH MANCHESTER GENERAL HOSPITAL,,R0A,94869.0,56890.0,30.0,42660053.0,181736.0,0.0,0.0,35.0,0.0,0.0,0,140604675.0,60.725,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
R0A72,CHOICES CENTRE & CENTRAL YOUTH,SK1 1NZ,R0A,1154.0,3254.0,0.0,229673.0,1146.5,0.0,0.0,25.0,0.0,0.0,0,,80.0,53.4098,-2.1576,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
R0AORS,OTHER REPORTABLE SITES,M13 9WL,R0A,10940.0,34461.0,0.0,775555.0,2192.0,0.0,0.0,50.0,0.0,0.0,0,0.0,49.687,53.4698,-2.2295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
X0V0E,TRAFFORD HOUSE,M32 0RS,R0A,1917.0,5751.0,0.0,229673.0,1146.5,0.0,0.0,25.0,0.0,0.0,0,,60.0,53.45,-2.3167,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
